days	size	files	tar_size	tar_time	16	18	20	22	24	26	28	30
1	437184112	8311	4273780	44.12	15790080	12234752	8335360	NaN	NaN	NaN	NaN	NaN
2	872477783	16683	8548956	87.74	31621120	24551424	16691200	NaN	NaN	NaN	NaN	NaN
4	1703376018	28122	15999968	169.92	59375616	46268416	30945280	NaN	NaN	NaN	NaN	NaN
8	3479866975	63744	32962244	345.96	125247488	97275904	65634304	NaN	NaN	NaN	NaN	NaN
16	6966738903	133465	65507128	695.77	249221120	192589824	131543040	NaN	NaN	NaN	NaN	NaN
32	13891862059	241317	129543876	1388.05	486711296	378621952	255840256	NaN	NaN	NaN	NaN	NaN
64	27877729877	479850	264281484	2787.18	969306112	752537600	513708032	NaN	NaN	NaN	NaN	NaN
128	54631945522	957070	522909432	5484.71	1933225984	1496854528	1020952576	NaN	NaN	NaN	NaN	NaN
