days	size	files	tar_size	tar_time	16	18	20	22	24	26	28	30
1	437184112	8311	4273780	44.12	21.58	11.98	10.12	9.15	9.31	10.03	26.27	41.74
2	872477783	16683	8548956	87.74	42.75	23.86	20.03	17.79	17.18	19.38	28.42	82.08
4	1703376018	28122	15999968	169.92	83.29	46.26	38.82	34.09	32.21	36.25	53.49	102.60
8	3479866975	63744	32962244	345.96	170.47	94.48	79.23	69.53	65.89	67.24	84.20	208.12
16	6966738903	133465	65507128	695.77	342.08	188.22	158.40	139.23	130.22	132.90	167.70	375.91
32	13891862059	241317	129543876	1388.05	680.76	377.57	318.36	278.26	259.49	261.64	332.05	733.76
64	27877729877	479850	264281484	2787.18	1375.14	773.86	647.43	570.03	532.63	527.19	672.75	1425.12
128	54631945522	957070	522909432	5484.71	2694.86	1510.08	1268.48	1115.61	1044.27	1030.45	1305.98	2793.52
