days	size	files	tar_size	tar_time	16	18	20	22	24	26	28	30
1	437184112	8311	4273780	44.12	7149.34	5864.45	5314.46	3416.48	2378.79	2231.19	2158.21	2143.23
2	872477783	16683	8548956	87.74	7154.42	5833.48	5323.96	3407.87	2378.44	2246.72	2157.69	2137.11
4	1703376018	28122	15999968	169.92	7156.36	5839.98	5297.40	3410.66	2364.86	2240.79	2164.67	2143.55
8	3479866975	63744	32962244	345.96	7155.08	5844.81	5393.52	3425.48	2360.48	2245.53	2159.54	2125.29
16	6966738903	133465	65507128	695.77	7166.72	5862.23	5449.56	3465.86	2373.69	2248.59	2158.24	2145.33
32	13891862059	241317	129543876	1388.05	7184.17	5819.70	5218.75	3377.02	2337.07	2215.46	2131.36	2123.05
64	27877729877	479850	264281484	2787.18	7078.44	5741.96	5229.60	3355.86	2338.85	2204.20	2119.56	2117.27
128	54631945522	957070	522909432	5484.71	7164.11	6082.99	5327.26	3415.85	2381.46	2256.15	2166.47	2152.85
