days	size	files	tar_size	tar_time	16	18	20	22	24	26	28	30
1	437184112	8311	4273780	44.12	20.03	13.42	11.43	10.30	10.60	14.57	31.39	43.41
2	872477783	16683	8548956	87.74	40.10	26.73	22.76	20.39	21.04	25.57	41.67	90.95
4	1703376018	28122	15999968	169.92	76.71	51.10	43.24	38.15	37.93	45.86	60.08	128.84
8	3479866975	63744	32962244	345.96	159.22	105.46	88.86	78.63	77.94	88.10	108.83	252.04
16	6966738903	133465	65507128	695.77	317.62	210.61	177.44	156.68	154.77	168.28	206.57	411.30
32	13891862059	241317	129543876	1388.05	628.50	419.31	354.74	314.70	310.90	335.75	402.67	828.00
64	27877729877	479850	264281484	2787.18	1268.11	859.96	730.01	653.61	658.05	727.55	836.62	1692.26
128	54631945522	957070	522909432	5484.71	2528.17	1715.75	1447.08	1299.39	1322.23	1463.04	1639.86	3313.64
