days	size	files	tar_size	tar_time	16	18	20	22	24	26	28	30
1	437184112	8311	4273780	44.12	9.99	12.78	11.40	NaN	NaN	NaN	NaN	NaN
2	872477783	16683	8548956	87.74	20.02	24.78	22.24	NaN	NaN	NaN	NaN	NaN
4	1703376018	28122	15999968	169.92	38.92	46.59	40.05	NaN	NaN	NaN	NaN	NaN
8	3479866975	63744	32962244	345.96	79.13	95.50	86.66	NaN	NaN	NaN	NaN	NaN
16	6966738903	133465	65507128	695.77	158.23	187.40	174.13	NaN	NaN	NaN	NaN	NaN
32	13891862059	241317	129543876	1388.05	315.15	372.89	332.03	NaN	NaN	NaN	NaN	NaN
64	27877729877	479850	264281484	2787.18	646.87	749.62	676.05	NaN	NaN	NaN	NaN	NaN
128	54631945522	957070	522909432	5484.71	1295.36	1529.74	1417.40	NaN	NaN	NaN	NaN	NaN
