days	size	files	tar_size	tar_time	16	18	20	22	24	26	28	30
1	437184112	8311	4273780	44.12	15387173	7940207	6543333	5206060	4567955	4295033	4249543	4239541
2	872477783	16683	8548956	87.74	30772130	15669638	13030424	10460975	9259389	8750408	8522002	8496457
4	1703376018	28122	15999968	169.92	59180795	30500891	25297766	20178657	17719327	16634964	16242920	16194008
8	3479866975	63744	32962244	345.96	123854000	63572484	52439938	41792273	36711344	34623997	33577450	33396450
16	6966738903	133465	65507128	695.77	245789804	127334254	104968978	83896889	74098552	69715685	67882660	67282299
32	13891862059	241317	129543876	1388.05	484535763	252461066	209413133	168214736	148600550	140555687	137053673	135809137
64	27877729877	479850	264281484	2787.18	965923561	511011648	423824216	342951153	303939514	287361023	280779593	278121954
128	54631945522	957070	522909432	5484.71	1927432998	1023420889	838252435	679945470	604620946	572682892	559686811	555322914
