days	size	files	tar_size	tar_time	16	18	20	22	24	26	28	30
1	437184112	8311	4273780	44.12	18496068	14655828	13388780	8564820	5531624	4612236	4333100	4273788
2	872477783	16683	8548956	87.74	36966172	29234968	26719156	17166332	11089132	9256964	8711212	8548964
4	1703376018	28122	15999968	169.92	70788500	56467060	51787072	32494564	20765420	17287820	16307776	16052084
8	3479866975	63744	32962244	345.96	146609160	116073556	106033444	67582496	43186340	35797928	33683112	33130568
16	6966738903	133465	65507128	695.77	296185984	233357832	212717904	135563168	86515032	71427844	66996924	65845968
32	13891862059	241317	129543876	1388.05	584468556	464357640	425357460	268928208	170628124	140930372	132405880	130264372
64	27877729877	479850	264281484	2787.18	1174519584	934592372	856623080	545154556	347867404	287725568	270171436	265744680
128	54631945522	957070	522909432	5484.71	2303655532	1832612416	1679752156	1065905544	684756932	568209156	534211312	525714600
