days	size	files	tar_size	tar_time	16	18	20	22	24	26	28	30
1	437184112	8311	4273780	44.12	2.66	2.31	3.03	NaN	NaN	NaN	NaN	NaN
2	872477783	16683	8548956	87.74	2.72	2.37	3.06	NaN	NaN	NaN	NaN	NaN
4	1703376018	28122	15999968	169.92	2.55	2.35	3.06	NaN	NaN	NaN	NaN	NaN
8	3479866975	63744	32962244	345.96	2.59	2.36	3.05	NaN	NaN	NaN	NaN	NaN
16	6966738903	133465	65507128	695.77	2.68	2.32	3.04	NaN	NaN	NaN	NaN	NaN
32	13891862059	241317	129543876	1388.05	2.62	2.35	3.03	NaN	NaN	NaN	NaN	NaN
64	27877729877	479850	264281484	2787.18	2.67	2.35	3.02	NaN	NaN	NaN	NaN	NaN
128	54631945522	957070	522909432	5484.71	2.62	2.29	3.07	NaN	NaN	NaN	NaN	NaN
